Ebene,Vektor,Bedeutung
1,omni.vector,Ursprung
2,diamant.vector,Stabilität
3,GEO.vector,Struktur
4,circle.vector,Bewegung
5,energie.vektor,Energie
6,slide.vector,Superposition
7,ide.vector,Identität
8,pos.vector,Position
